,Cnsmr,Manuf,HiTec,Hlth ,DGS10
1990-01,0.0,0.0,0.0,0.0,0.0
1990-02,0.0132,0.021400000000000002,0.0158,-0.0206,0.0007091666666666666
1990-03,0.045700000000000005,0.0172,0.0431,0.038599999999999995,0.0007208333333333334
1990-04,-0.0148,-0.0356,-0.0281,0.0029,0.0007533333333333333
1990-05,0.09880000000000001,0.0697,0.10800000000000001,0.1276,0.0007166666666666667
1990-06,0.0126,-0.0069,-0.0311,0.0444,0.0007025
1990-07,-0.024399999999999998,0.024300000000000002,-0.0594,0.0259,0.0006966666666666666
1990-08,-0.1016,-0.0795,-0.1134,-0.0682,0.0007383333333333332
1990-09,-0.0658,-0.0432,-0.0241,-0.0435,0.000735
1990-10,-0.003,-0.005,-0.0001,0.0143,0.0007208333333333334
1990-11,0.0765,0.0449,0.0659,0.09449999999999999,0.0006883333333333333
1990-12,0.0348,0.019299999999999998,0.028399999999999998,0.0275,0.0006733333333333333
1991-01,0.0697,0.0233,0.0692,0.0453,0.0006691666666666667
1991-02,0.0943,0.0634,0.0489,0.09849999999999999,0.0006683333333333333
1991-03,0.0582,0.0141,0.0154,0.054299999999999994,0.0006708333333333334
1991-04,0.0001,0.0086,-0.0089,-0.011200000000000002,0.0006683333333333333
1991-05,0.06280000000000001,0.0344,0.0103,0.0461,0.0006716666666666667
1991-06,-0.045899999999999996,-0.0369,-0.0538,-0.0416,0.0006866666666666667
1991-07,0.0489,0.0382,0.0391,0.08439999999999999,0.0006833333333333333
1991-08,0.0392,0.022400000000000003,0.0184,0.0286,0.0006516666666666667
1991-09,-0.0319,-0.0055000000000000005,-0.0038,-0.004,0.0006225
1991-10,-0.0128,0.0158,0.020499999999999997,0.0664,0.0006225
1991-11,-0.0152,-0.0435,-0.04650000000000001,-0.0255,0.000615
1991-12,0.1335,0.0755,0.0947,0.16469999999999999,0.0005591666666666667
1992-01,-0.0054,-0.009000000000000001,0.0203,-0.0555,0.0006091666666666666
1992-02,0.0277,0.0070999999999999995,0.0146,-0.0259,0.0006058333333333333
1992-03,-0.012199999999999999,-0.0143,-0.0323,-0.0546,0.0006283333333333333
1992-04,-0.0016,0.0436,0.0269,-0.0215,0.0006341666666666667
1992-05,0.0053,0.01,-0.008199999999999999,0.0108,0.0006108333333333333
1992-06,-0.0194,-0.0248,-0.0154,-0.046799999999999994,0.0005949999999999999
1992-07,0.0384,0.0441,0.0416,0.057300000000000004,0.00056
