,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,DGS10
1990-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-02,-0.0039000000000000003,0.0513,0.0255,0.030299999999999997,0.041100000000000005,-0.0034000000000000002,0.0192,-0.0206,0.0022,0.0007091666666666666
1990-03,0.0454,0.028999999999999998,0.0391,-0.0048,0.0446,0.0418,0.053,0.038599999999999995,-0.0075,0.0007208333333333334
1990-04,-0.0027,-0.0404,-0.0274,-0.0359,-0.02,-0.0346,-0.0191,0.0029,-0.055099999999999996,0.0007533333333333333
1990-05,0.0904,0.0776,0.0808,0.059500000000000004,0.12539999999999998,0.09390000000000001,0.11699999999999999,0.1276,0.0542,0.0007166666666666667
1990-06,0.0203,-0.0225,-0.006,-0.0208,-0.011699999999999999,-0.0471,0.016200000000000003,0.0444,0.0075,0.0007025
1990-07,-0.008100000000000001,-0.0348,0.0022,0.0823,-0.07429999999999999,-0.045899999999999996,-0.0401,0.0259,0.0088,0.0006966666666666666
1990-08,-0.0736,-0.1427,-0.1206,-0.012,-0.1204,-0.1072,-0.1217,-0.0682,-0.0663,0.0007383333333333332
1990-09,-0.041100000000000005,-0.1058,-0.08039999999999999,-0.0159,-0.0666,0.0129,-0.0842,-0.0435,0.0048,0.000735
1990-10,0.0245,-0.0322,-0.0181,-0.042,-0.035,0.027999999999999997,-0.030699999999999998,0.0143,0.0723,0.0007208333333333334
1990-11,0.0655,0.041100000000000005,0.07400000000000001,0.0163,0.1119,0.031,0.10369999999999999,0.09449999999999999,0.023,0.0006883333333333333
1990-12,0.0441,-0.0044,0.048799999999999996,-0.0217,0.0418,0.0175,0.0339,0.0275,0.008,0.0006733333333333333
1991-01,0.051500000000000004,0.0729,0.0644,-0.020099999999999996,0.1496,0.0018,0.0941,0.0453,-0.0137,0.0006691666666666667
1991-02,0.10289999999999999,0.1024,0.059699999999999996,0.0839,0.0641,0.0341,0.08039999999999999,0.09849999999999999,0.0483,0.0006683333333333333
1991-03,0.0478,0.0116,0.013600000000000001,0.0128,0.0075,0.023399999999999997,0.0861,0.054299999999999994,0.0171,0.0006708333333333334
1991-04,-0.0096,-0.0235,0.0039000000000000003,0.0253,-0.028900000000000002,0.011200000000000002,0.0196,-0.011200000000000002,-0.0003,0.0006683333333333333
1991-05,0.0359,0.1472,0.0738,-0.0139,0.0361,-0.014499999999999999,0.0753,0.0461,0.0016,0.0006716666666666667
1991-06,-0.0495,-0.0446,-0.042,-0.037000000000000005,-0.0882,-0.019,-0.0418,-0.0416,-0.023700000000000002,0.0006866666666666667
1991-07,0.0567,-0.0040999999999999995,0.0316,0.050199999999999995,0.0463,0.032,0.054000000000000006,0.08439999999999999,0.039900000000000005,0.0006833333333333333
1991-08,0.054000000000000006,-0.021400000000000002,0.0195,0.0175,0.0281,0.0084,0.036699999999999997,0.0286,0.0353,0.0006516666666666667
1991-09,-0.0325,-0.0268,-0.0229,-0.006999999999999999,-0.013000000000000001,0.0054,-0.0325,-0.004,0.0373,0.0006225
1991-10,-0.006,-0.0199,0.0152,0.0203,0.0199,0.021099999999999997,-0.0196,0.0664,0.0123,0.0006225
1991-11,-0.0052,-0.0797,-0.0545,-0.0767,-0.0437,-0.0492,-0.0121,-0.0255,0.0189,0.000615
1991-12,0.1463,0.0764,0.1151,0.0194,0.0913,0.0983,0.13,0.16469999999999999,0.0501,0.0005591666666666667
1992-01,-0.0305,0.10490000000000001,0.022099999999999998,-0.0415,0.0663,-0.0262,0.0033,-0.0555,-0.0458,0.0006091666666666666
1992-02,0.011000000000000001,0.12279999999999999,0.0204,-0.0052,0.038599999999999995,-0.0121,0.026000000000000002,-0.0259,-0.0123,0.0006058333333333333
1992-03,-0.015600000000000001,0.0079,-0.0125,-0.0278,-0.051699999999999996,-0.0098,-0.013300000000000001,-0.0546,-0.0053,0.0006283333333333333
1992-04,0.0074,0.079,0.029900000000000003,0.0947,-0.0102,0.06849999999999999,-0.0348,-0.0215,0.0268,0.0006341666666666667
1992-05,0.0138,-0.0192,-0.005600000000000001,0.032,0.0003,-0.017,0.0018,0.0108,0.0254,0.0006108333333333333
1992-06,-0.0288,0.0216,-0.033,-0.0348,-0.0409,0.0124,-0.019,-0.046799999999999994,0.0054,0.0005949999999999999
1992-07,0.0467,0.0043,0.0301,0.0535,0.0298,0.0537,0.0384,0.057300000000000004,0.0669,0.00056
1992-08,0.0085,-0.0946,-0.0354,0.025699999999999997,-0.0455,-0.0105,-0.0055000000000000005,-0.033,-0.0049,0.0005516666666666667
1992-09,0.011000000000000001,0.0029,0.0181,0.0014000000000000002,0.0336,0.0181,0.0404,-0.049,0.008199999999999999,0.0005308333333333334
1992-10,-0.0085,0.0006,0.008199999999999999,-0.0346,0.0212,-0.0053,0.0432,0.0332,-0.0042,0.0005666666666666666
1992-11,0.0365,0.0864,0.039599999999999996,-0.0264,0.0635,0.0429,0.0719,0.0487,-0.0024,0.0005791666666666666
1992-12,0.0008,0.0337,0.0148,0.0192,0.0,0.0557,0.0060999999999999995,-0.013999999999999999,0.027000000000000003,0.0005583333333333333
1993-01,-0.0078000000000000005,0.09480000000000001,-0.0004,0.0275,0.0484,0.0116,0.0003,-0.0677,0.0245,0.0005325
1993-02,-0.020499999999999997,-0.0028000000000000004,0.0165,0.0601,-0.0034999999999999996,0.0572,-0.0152,-0.0894,0.0621,0.0005025
1993-03,0.0001,0.0545,0.0225,0.040999999999999995,0.022099999999999998,0.0326,0.0277,0.008100000000000001,0.0177,0.0005025
1993-04,-0.0924,0.0231,-0.0009,0.0118,-0.0368,-0.0287,-0.0814,0.0131,-0.0015,0.0005041666666666667
1993-05,0.026699999999999998,0.0108,0.023799999999999998,0.0174,0.08779999999999999,0.042300000000000004,0.0587,0.0361,-0.0006,0.0005133333333333333
1993-06,-0.0075,0.0331,-0.0022,-0.011200000000000002,-0.0043,0.0464,-0.028900000000000002,-0.0292,0.0318,0.00048333333333333334
1993-07,-0.0236,0.0168,-0.0002,0.0048,-0.038900000000000004,0.0215,0.006500000000000001,-0.06,0.0195,0.00048583333333333334
1993-08,0.042800000000000005,0.005,0.034300000000000004,0.042199999999999994,0.0641,0.0547,0.0397,0.030600000000000002,0.036699999999999997,0.0004541666666666667
